Timestamp;Факултетен номер;Номер на въпроса;Цел на въпроса;Въпрос;Опция 1;Опция 2;Опция 3;Опция 4;Верен отговор;Ниво на трудност;Обратна връзка при верен отговор;Обратна връзка при грешен отговор;Забележка;Тип на въпроса
12.15.2022 20:53:52;81958;1;Да запознае хората с езика на React;На какъв език е базиран React?;Java;Python;JavaScript;C++;3;1;Oтлично! За повече информация виж началната страница на реферата.;"
Грешка! За повече информация виж началната страница на реферата.
";Няма;2
12.15.2022 20:57:13;81958;2;Да запознае слушателите с коя компания създава React;Коя компания създава React?;Facebook (Meta);Microsoft;Uber;Apple;1;2;"Отлично! За повече информация по темата виж секция ""Какво е React"" от реферата.";"Грешка! За повече информация по темата виж секция ""Какво е React"" от реферата.";Няма;2
12.15.2022 21:04:18;81958;3;Да направи съпоставка с архитектурите;На каква архитектура в презентивния си слой наподобява React?;Kлиент-сървър;Модел-изглед-контролер (Model and view controoler);Слоева;Тръба-филтър;2;3;"Отлично! За повече информация по темата виж секция""Какво е React"" от реферата.";"Грешка! За повече информация по темата виж секция""Какво е React"" от реферата.";Няма;3
12.15.2022 21:28:40;82014;1;Да провери дали се знае начина, по който работи NativeScript;На каква виртуална машина се изпълнява кода на NativeScript;c++ виртуална машина;Golang виртуална машина;python виртуална машина;JS виртуална машина;4;2;Верен отговор. Отлично! За повече информация по темата виж началото на реферата; Грешка! За повече информация по темата виж началото на реферата;Чисто теоретичен въпрос;3
12.15.2022 21:36:04;82014;2;Да провери дали читателят знае за какво може да се използва NativeScript на различните операционни системи;Посочете невярното твърдение за NativeScript;на windows можем да създаваме приложения за android;на windows можем да създаваме приложения за ios;на ios можем да създаваме приложения за android;на linux не можем да създаваме приложения за ios;2;3;Верен отговор. Отлично! За повече информация по темата виж секция инсталация от реферата;Грешка! За повече информация по темата виж секция инсталация от реферата;Въпросът не е труден, но звучи объркващо;2
12.15.2022 21:42:28;82014;3;Да провери дали читателят знае какво трябва да се изтегли;Посочете невярното твърдение;Android Studio предоставя лесен за използване интерфейс за инсталиране и управление на Android SDK;NativeScript CLI е строго необходим, за да работите с NativeScript;Node е строго необходим, за да работите с NativeScript;Android Studio е строго необходимо, за да работите с NativeScript;4;3;Верен отговор. Отлично! За повече информация по темата виж секция инсталация от реферата;Грешка! За повече информация по темата виж секция инсталация от реферата;Теоретичен въпрос върху информация, която най-вероятно читателят не е обърнал много внимание;3
12.15.2022 21:49:03;82014;4;Да провери дали читателят е научил командите;"За какво често се използва командата ""ns doctor android""";За да излекуваме андроида;За да си намерим лесно грешките в приложението;За да се уверим, че успешно е инсталиран NativeScript;За да проверим дали правилно сме свързали устройствата, на които тестваме приложението;3;3; Верен отговор. Отлично! За повече информация по темата виж секция инсталация от реферата.;"Грешка! За повече информация по темата виж секция инсталация от реферата.
";Опция 1 е с цел да разсмее читателя;3
12.15.2022 21:52:57;82014;5;Да провери дали читателя знае синтаксиса;С коя команда можем да създадем приложение с име smartApp;ns create smartApp;ns creat myCoolApp;ns build myCoolApp;ns new_app->myCoolApp;1;1;Верен отговор. Отлично! За повече информация по темата виж секция Основи от реферата.;"Грешка! За повече информация по темата виж секция Основи от реферата.
";Въпросът е елементарен;3
12.15.2022 21:57:54;82014;6;Да тества дали читателя разбира смисъла на основните шаблони;Кой от изброените шаблони е най-подходящ за приложение за продаване на сандвичи;Drawer;List and Details;Tabs;Blank;2;3;Верен отговор. Отлично! За повече информация по темата виж секция Основи от реферата.;Грешка! За повече информация по темата виж секция Основи от реферата.;Въпросът не е труден, но иска малко мислене;2
12.15.2022 22:07:24;82014;7;Да тества дали читателя знае командите;Кое твърдение е вярно за командата clean;Тя ще изтрие директориите node_modules, hooks и platforms от вашия проект;Не трябва да я използвате след като сте добавили нови депендънсита.;Не очаквайте тази команда да ви помогне, ако приложението ви не тръгва;"Тя прави същото като командата ""ns doctor""";1;3;Верен отговор. Отлично! За повече информация по темата виж секция Основни команди от реферата.;Грешка! За повече информация по темата виж секция Основни команди от реферата.;Лесен въпрос но леко объркващ в началото;3
12.15.2022 22:13:45;82014;8;Да провери знанията на читателя за командите;Кой флаг ни е нужен, когато искаме ios приложение да се рестартира при всяка промяна(ползваме командата run);--clean;--timeout;--emulator;--no-hmr;4;5;Верен отговор. Отлично! За повече информация по темата виж секция Основни команди от реферата.;Грешка! За повече информация по темата виж секция Основни команди от реферата.;Труден теоретичен въпрос;3
12.15.2022 22:20:36;82014;9;Да тества знанията за командите;При използване на командата run кога ни е нужен флагът “--clean”;Когато искаме приложението да се симулира на емулатор;Когато искаме приложението задължително да се билдне наново;Когато искаме приложението да се рестартира при всяка промяна;За да зададем максималното време, което компютъра ще чака да тръгне приложението;2;3;Верен отговор. Отлично! За повече информация по темата виж секция Основни команди от реферата.;Грешка! За повече информация по темата виж секция Основни команди от реферата.;Теоретичен въпрос, за който можем да си помогнем с логика, ако не знаем отговора;3
12.15.2022 22:27:22;82014;10;Да тества знанията върху командите;Когато изполваме командата debug, какво ще се случи ако добавим флага --debug-brk;Промените няма да се синхронизират;Командата спира след 30 секунди или когато фронтенда на дебъгера получи текст;Казваме, че искаме приложението да се дебъгва на емулатор;Приложението задължително ще се билдне наново;2;5;Верен отговор. Отлично! За повече информация по темата виж секция Основни команди от реферата.;"Грешка! За повече информация по темата виж секция Основни команди от реферата.
";Теоретичен въпрос, който или го знаем или трябва да играем на тото;3
